店名,カテゴリー,地域,住所,電話,ホームページ,テイクアウト,デリバリー,備考
お好み焼き　福来美味,お好み焼き・もんじゃ焼き・焼きそば,北部,〒321-2114 宇都宮市下金井町485-1,028-665-6556,なし,あり,なし,
NAGOMIYA,居酒屋,中央,〒321-0964 宇都宮市駅前通り1-5-10,028-612-2753,なし,なし,なし,
THE SINGLE 宇都宮店,その他,中央,〒320-0801 宇都宮市池上町2-10アイ白鳩ビル3階,028-638-5558,https://single-aiseki.com/,なし,なし,
乙女屋泉が丘店（カフェ）,カフェ・スイーツ,東部,〒321-0951 宇都宮市越戸町1-1-4,028-662-7089,https://otomeya.co.jp/,あり,なし,
ライムライト,居酒屋,南部,〒320-0831 宇都宮市新町2-8-5,090-3148-6940,なし,なし,なし,
乙女屋東簗瀬店（カフェ）,カフェ・スイーツ,中央,〒321-0925 宇都宮市東簗瀬1-39-6,028-636-2030,https://otomeya.co.jp/,あり,なし,
母舎カフェ,カフェ・スイーツ,西部,〒320-0851 宇都宮市鶴田町2962-7,028-633-8561,なし,あり,なし,
かえりしな,居酒屋,南部,〒321-0161 宇都宮市大塚町23-13,028-666-8777,なし,あり,なし,
酒楽　あかね家,居酒屋,中央,〒320-0034 宇都宮市泉町2-15高塩ビル１F,028-621-7755,なし,あり,なし,
手打うどんそば讃岐,うどん・そば,西部,〒320-0052 宇都宮市中戸祭町867-30,028-621-0301,なし,なし,なし,
KITCHEN THREE PIECE93,イタリアン・フレンチ,中央,〒320-0804 宇都宮市二荒町5-2 SAKAIビル１F,028-616-8547,なし,あり,なし,
鮮肴,居酒屋,中央,〒320-0804 宇都宮市二荒町2-18,028-632-8118,なし,あり,なし,
楽味,居酒屋,中央,〒320-0803 宇都宮市曲師町4-2亀山ビル,028-612-7966,https://rakumi.owst.jp/,あり,あり,
ザ・グランドスパ南大門　和囲輪囲,和食,中央,〒321-0966 宇都宮市今泉3-2-18ザ・グランドスパ南大門,028-627-3444,https://nandaimon.co.jp/spa/enkai,あり,なし,
梅酒の店　ぱかぱか,創作料理,中央,〒320-0802 宇都宮市江野町5-102階,028-636-9809,https://pakapaka98.com/,なし,なし,
青竹手打ちラーメン おおき屋,ラーメン,南部,〒321-0163 宇都宮市宮本町7-7,028-659-1888,なし,あり,なし,
tokō,洋食,中央,〒321-0985 宇都宮市東町316-5,028-661-0788,https://toko.kitchen/,あり,なし,
肴と日本酒　克,和食,中央,〒320-0801 宇都宮市池上町4-22東武スマイルビル1階,028-610-7238,なし,なし,なし,
牛角　宇都宮中央店,焼肉・ホルモン,中央,〒320-0033 宇都宮市本町13-17レックスビル２F,028-627-8929,なし,あり,なし,
牛角　競輪場通り店,焼肉・ホルモン,西部,〒320-0053 宇都宮市戸祭町2032-1,028-621-8929,なし,あり,なし,
寿司田,和食,中央,〒320-0042 宇都宮市材木町5-10,028-636-1734,なし,なし,なし,
食彩香房　どんぐり,創作料理,北部,〒329-1104 宇都宮市下岡本町2503,028-673-0237,なし,あり,なし,
まんざし弁天,焼肉・ホルモン,南部,〒321-0158 宇都宮市西川田本町2-1-1,028-616-8588,http://manzashi-benten.com/,あり,なし,
手打そば　やおき,うどん・そば,東部,〒321-0968 宇都宮市中今泉1-4-13,028-637-8225,なし,なし,なし,
韓国家庭料理の店　かしわだいにんぐ,各国料理（韓国料理・カレー等）,西部,〒320-0857 宇都宮市鶴田2-6-22,028-616-2921,なし,なし,なし,
煽り味噌らーめん　正宗（対象：店内飲食等）,ラーメン,東部,〒321-3226 宇都宮市ゆいの杜3-3-40,028-307-9533,なし,あり,なし,
竹寿司,和食,北部,〒329-1116 宇都宮市立伏町447-251,028-672-1884,なし,あり,あり,
焼きそば キング,お好み焼き・もんじゃ焼き・焼きそば,中央,〒320-0827 宇都宮市花房3-3-36カドリーコーポ102,028-637-7723,なし,あり,なし,
中華トントン,中華,東部,〒321-0941 宇都宮市東今泉1-1-44,028-635-8559,なし,あり,なし,
やきとり家竜鳳　総本店,居酒屋,西部,〒321-0346 宇都宮市下荒針町3589-25,028-612-6109,https://www.ryuho.co.jp/yakitoriya_ryuho_souhonten.html,あり,なし,
石臼挽き　手打ちそば　季喬,うどん・そば,北部,〒321-2116 宇都宮市徳次郎町2099-3,028-665-2040,なし,なし,なし,
食堂　大安,和食,西部,〒320-0851 宇都宮市鶴田町2968,028-634-2814,なし,あり,あり,
和ふう亭,うどん・そば,南部,〒321-0117 宇都宮市城南1-1-4,028-655-6100,http://wafuutei.com/,あり,あり,
味の民芸　宇都宮帝京大前店,和食,北部,〒320-0004 宇都宮市長岡町47-1,028-627-9888,なし,あり,なし,
麺屋 佳佳,ラーメン,南部,〒321-0105 宇都宮市横田新町4-7,028-612-4313,なし,あり,なし,
若森そば,うどん・そば,東部,〒321-3225 宇都宮市満美穴町549-1,028-667-3339,なし,あり,なし,
和風料理　みやしろ,和食,中央,〒320-0033 宇都宮市本町13-6,028-622-5576,なし,なし,なし,
KUROFUNE,イタリアン・フレンチ,中央,〒320-0811 宇都宮市大通り2-1-4サテライトビル１F,028-638-9620,なし,あり,なし,
心麺,ラーメン,南部,〒321-0113 宇都宮市砂田町318-1,028-656-8270,なし,なし,なし,
日本酒スタンドバー　タケヒロ,和食,中央,〒320-0035 宇都宮市伝馬町2-22,028-688-7212,http://www.takehiro16.com/,なし,なし,
KAMEDA-YA coffee&wine,カフェ・スイーツ,南部,〒321-0111 宇都宮市川田町432,028-656-3464,https://www.kamedasangyo.co.jp/,あり,なし,
やきとり富,その他,西部,〒320-0074 宇都宮市細谷町659山本ビル1F,028-666-0188,なし,あり,なし,
たけひろ,和食,中央,〒320-0027 宇都宮市塙田2-2-8,028-688-7212,http://www.takehiro16.com/,なし,なし,
OWL,洋食,中央,〒320-0806 宇都宮市中央2-7-8SSビル2F,028-612-8290,なし,あり,なし,
CHLOE,ダイニングバー・バル,中央,〒320-0026 宇都宮市馬場通り2-3-5田中屋ビル１F,028-639-4122,https://gallery-chloe.com/,なし,なし,
石の蔵,和食,中央,〒320-0021 宇都宮市東塙田2-8-8,028-622-5488,https://ishi-no-kura.jp/,あり,なし,
ムッシュ,ダイニングバー・バル,中央,〒320-0033 宇都宮市本町5-7ノアビル3F,,なし,なし,なし,
古舎,ダイニングバー・バル,中央,〒320-0805 宇都宮市中央本町1-2ボタンビル1F,028-636-5700,なし,なし,なし,
Comodo Dining 日翠-HINO-,イタリアン・フレンチ,北部,〒321-0974 宇都宮市竹林町1081-4ネモストホームE,028-643-0210,なし,あり,なし,
ギターラァ,居酒屋,中央,〒320-0014 宇都宮市大曽1-4-1巨光第２アパート106,090-2206-2888,なし,あり,なし,
simple,カフェ・スイーツ,南部,〒321-0139 宇都宮市若松原1-9-10,080-7106-0024,なし,なし,なし,
居酒屋　仲ちゃん,居酒屋,東部,〒321-0904 宇都宮市陽東1-3-16,028-662-7189,なし,あり,なし,
メルズ　イン　ブルース,ダイニングバー・バル,東部,〒321-0953 宇都宮市東宿郷3-11-9,028-636-1288,なし,なし,なし,
焼肉の田原,焼肉・ホルモン,北部,〒329-1115 宇都宮市下田原町1758-14,028-672-0968,なし,あり,なし,
ホシジロ,ラーメン,中央,〒320-0803 宇都宮市曲師町3-8角常オリオンビル1F西,記載なし,なし,あり,あり,
炭火DE串焼き　ぴんすけ,居酒屋,中央,〒320-0808 宇都宮市宮園町1-9 ニッセイビル1F,028-635-8929,https://www.cocconosuke.com/,あり,なし,
宇都宮　相馬龍,居酒屋,中央,〒320-0033 宇都宮市本町12-31びぜんやビル1階,028-666-5556,https://www.facebook.com/soumadragon/,なし,なし,
ビストロ・パラディ,イタリアン・フレンチ,中央,〒320-0029 宇都宮市塙田2-3-25東光ビル1F,028-625-6554,https://r.gnavi.co.jp/230vr7fs0000/,なし,なし,
ファミリーレストラン　オックス,洋食,中央,〒321-0966 宇都宮市今泉4-16-32,028-624-0271,なし,あり,なし,
藍屋　宇都宮今泉,和食,東部,〒321-0954 宇都宮市元今泉3-3-15,028-651-2429,https://www.skylark.co.jp/,あり,なし,
ぐるとんっ！,居酒屋,中央,〒320-0802 宇都宮市江野町10-15,028-612-2717,なし,なし,なし,
ごとくっ！,居酒屋,中央,〒320-0803 宇都宮市曲師町3-13,028-680-7005,なし,なし,なし,
上河内サービスエリア　上り線　レストラン,その他,北部,〒321-0402 宇都宮市今里町1145,028-674-2111,https://www.driveplaza.com/sapa/1040/1040091/1/,あり,なし,
上河内サービスエリア　上り線　フードコート,その他,北部,〒321-0402 宇都宮市今里町1145,028-674-2111,https://www.driveplaza.com/sapa/1040/1040091/1/,あり,なし,
OYA PICK ROCK,その他,西部,〒321-0345 宇都宮市大谷町1263-2ベルテラシェ大谷,028-652-8666,https://ichiro-group.com/,あり,なし,
フラチキピザウルス,その他,東部,〒321-3223 宇都宮市清原台3-28-7,028-670-8108,https://ichiro-group.com/,あり,なし,
ヤキニクイチロー,焼肉・ホルモン,東部,〒321-3222 宇都宮市野高谷町433-1,028-612-8821,https://ichiro-group.com/,なし,なし,
上河内サービスエリア下り線（対象：店内飲食）,和食,北部,〒321-0402 宇都宮市今里町1149,028-674-2121,なし,なし,なし,
居酒屋ばんばん,居酒屋,中央,〒320-0801 宇都宮市池上町2-10アイ白鳩ビル２階,028-635-5537,https://goen-nakai.com/,あり,なし,
居酒屋なかい,居酒屋,中央,〒320-0801 宇都宮市池上町1-1中央ビル１階,028-637-2323,https://goen-nakai.com/,あり,なし,
Bar et vin le coeur,ダイニングバー・バル,東部,〒321-0954 宇都宮市元今泉4-7-8クニヤ102,028-639-4122,https://barlecoeur.com/,なし,なし,
グリル＆ワイン酒場　meet,ステーキ,南部,〒321-0924 宇都宮市下栗1-20-9,028-689-9601,なし,あり,なし,
活うなぎ　寿し龍,和食,中央,〒321-0934 宇都宮市簗瀬1-32-2,028-634-4841,なし,あり,あり,
食処・酒処　豚幸,居酒屋,中央,〒320-0026 宇都宮市馬場通り2-3-16,028-636-2017,なし,なし,なし,
よこたや,居酒屋,中央,〒321-0964 宇都宮市駅前通り2-1-9,028-637-2131,なし,あり,なし,
國酒の仕業,居酒屋,中央,〒320-0811 宇都宮市大通り5-2-8,028-612-4992,なし,あり,なし,
日光スパ屋,イタリアン・フレンチ,北部,〒321-2103 宇都宮市石那田町456-2,028-669-2651,http://spa-ya.net/service2/,あり,なし,
JIGGER INN,ダイニングバー・バル,中央,〒320-0026 宇都宮市馬場通り3-1-17STM2ビル4F,028-678-8383,https://www.hotpepper.jp/strJ001135977/amp/,なし,なし,
BLISS　CAFE,カフェ・スイーツ,中央,〒320-0806 宇都宮市中央5-1-8KAMAGAWALIVING2F,080-7959-9724,なし,あり,なし,
すしざんまい　宇都宮駅店,和食,中央,〒321-0965 宇都宮市川向町1-23JR東日本ホテルメッツ宇都宮 3階,028-600-3017,https://www.kiyomura.co.jp/,あり,なし,
宇都宮スパ屋,イタリアン・フレンチ,北部,〒329-1104 宇都宮市下岡本町4547-12,028-673-5081,http://spa-ya.net/,あり,なし,
S.K.M.Dining,洋食,南部,〒321-0932 宇都宮市平松本町1109-1ソレイユガーデン1階,028-651-4049,http://skmdining.com/,あり,なし,
CLUB RITZ,その他,中央,〒320-0033 宇都宮市本町4-20イーラ本町ビル2階,028-650-6262,なし,なし,なし,
ステーキ宮　越戸店,ステーキ,東部,〒321-0951 宇都宮市越戸町90-1,028-662-6181,なし,あり,なし,
中国家庭料理　豊華,中華,中央,〒320-0802 宇都宮市江野町11-1,028-611-3683,なし,あり,なし,
和食　金田屋,和食,西部,〒320-0065 宇都宮市駒生町1765-2,028-652-1037,なし,あり,なし,
麺や　しみず,ラーメン,南部,〒321-0917 宇都宮市西刑部町2740-10,028-656-0302,なし,あり,なし,
AGカフェ,カフェ・スイーツ,西部,〒320-0012 宇都宮市山本3-14-7,028-625-4455,なし,あり,なし,
Lounge CANTY,その他,中央,〒320-0033 宇都宮市本町4-20イーラ本町ビル3階,028-678-6699,なし,なし,なし,
中華料理康楽,中華,東部,〒320-0013 宇都宮市上大曽町489-5,028-666-4878,なし,あり,なし,
BABY FACE PLANET'S 宇都宮店,洋食,中央,〒321-0933 宇都宮市簗瀬町1865-1カルマーレ宇都宮1階,028-612-1648,なし,あり,なし,
幸麺,ラーメン,中央,〒320-0031 宇都宮市戸祭元町4-5,028-623-4455,なし,あり,なし,
カプリチョーザ宇都宮インターパークビレッジ店,イタリアン・フレンチ,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ4-1-3,028-657-6622,https://capricciosa.com/,あり,なし,
ユニバーサルダイニング宇都宮店,居酒屋,中央,〒320-0802 宇都宮市江野町7-13プラザヒカリビル 3階,028-634-6136,https://universal-utsunomiya.owst.jp/,あり,あり,
Ms.MYSTIC,居酒屋,中央,〒320-0804 宇都宮市二荒町5-71F,028-633-5775,なし,なし,なし,
遊食屋　ふぁむ,洋食,中央,〒320-0031 宇都宮市戸祭元町2-10松井ビル1階,028-624-3067,なし,あり,なし,
串家キッチン　晴吉,居酒屋,西部,〒321-0169 宇都宮市八千代1-14-26,028-611-3944,なし,あり,なし,
春木屋　AKAITORI,各国料理（韓国料理・カレー等）,中央,〒320-0026 宇都宮市馬場通り2-3-10,028-633-2525,http://www2.ucatv.ne.jp/~akaitori.sun/,あり,なし,
手打そば　もちづき,うどん・そば,東部,〒321-0904 宇都宮市陽東1-8-18,028-689-5618,なし,なし,なし,
一休,居酒屋,中央,〒320-0818 宇都宮市旭1-5-19,028-636-9127,なし,なし,なし,
明朗飯店,中華,中央,〒320-0808 宇都宮市宮園町1-2,028-634-1731,なし,なし,なし,
町家カフェ　太郎茶屋鎌倉　宇都宮店,カフェ・スイーツ,南部,〒321-0123 宇都宮市東谷町484-1,028-653-3211,http://kamakuracafe.th33.com/store/utsunomiya,あり,なし,
フルーツダイニングパレット　下戸祭店,カフェ・スイーツ,中央,〒320-0055 宇都宮市下戸祭2-18-1,028-621-8020,なし,あり,あり,
かぼちゃ亭,創作料理,東部,〒321-0954 宇都宮市元今泉3-20-16大光ビル1階,028-632-7721,http://www.izzy-web.net/,あり,あり,
羽黒山荘　田楽茶屋,和食,北部,〒321-0402 宇都宮市今里町1444,028-674-3330,なし,あり,なし,
すぎのや本陣　宇都宮インターパーク店,和食,南部,〒321-0114 宇都宮市ｲﾝﾀｰﾊﾟｰｸ3-2-1,028-688-3766,なし,あり,あり,
みや御苑　鶴田店,各国料理（韓国料理・カレー等）,西部,〒320-0851 宇都宮市鶴田町505-15,028-634-4000,なし,あり,なし,
夢酒OGAWAパイプのけむり,ダイニングバー・バル,中央,〒320-0034 宇都宮市泉町2-19,028-621-9281,なし,なし,なし,
手打ち蕎麦　ゆうり庵,うどん・そば,東部,〒321-0904 宇都宮市陽東2-4-4,028-680-4349,なし,なし,なし,
道とん堀　鶴田店,お好み焼き・もんじゃ焼き・焼きそば,西部,〒320-0857 宇都宮市鶴田2-39-49,028-649-0618,なし,あり,あり,
宮たこオリオン通り店,その他,中央,〒320-0803 宇都宮市曲師町3-8角常ビル1階,028-639-6577,http://www.miyatako.jp,あり,なし,
インド料理エベレスト　御幸ヶ原店,各国料理（韓国料理・カレー等）,北部,〒321-0982 宇都宮市御幸ｹ原町17-17,028-612-7033,なし,あり,あり,
Eustoma,カフェ・スイーツ,中央,〒320-0803 宇都宮市曲師町3-8角常仲見世館1階,028-678-3533,なし,あり,あり,
フレッシュネスバーガー　宇都宮店,ファストフード,中央,〒320-0803 宇都宮市曲師町2-18オリオン通りフェスタ1階,028-614-4840,https://www.freshnessburger.co.jp/,あり,なし,
越戸そば　総本店,うどん・そば,中央,〒321-0951 宇都宮市越戸2-18-2,028-612-3334,なし,あり,なし,
麺榮王様のラーメン,ラーメン,南部,〒321-0169 宇都宮市八千代2-1-4,,なし,なし,なし,
石焼ラーメン火山　滝谷町店,ラーメン,南部,〒320-0843 宇都宮市花園町6-1,028-633-3169,http://ishiyaki.jp/,あり,なし,
BROWN SUGAR ESPRESSO COFFEE（石井町店）,カフェ・スイーツ,東部,〒321-0912 宇都宮市石井町2800-155,090-6300-1273,なし,あり,なし,
FARMDELI 南宇都宮店,カフェ・スイーツ,南部,〒320-0838 宇都宮市吉野1-7-10,028-612-8998,なし,あり,なし,
FARMDELI　清住通り店,カフェ・スイーツ,西部,〒320-0041 宇都宮市松原3-6-28,028-678-4664,なし,あり,なし,
RESTAURANT　chihiro,イタリアン・フレンチ,南部,〒320-0838 宇都宮市吉野1-7-10,028-633-5929,なし,あり,なし,
宮カフェ1F@miya（飲食のみ）,カフェ・スイーツ,中央,〒320-0802 宇都宮市江野町2-11,028-666-8938,http://utsunomiya-miyacafe.com/,あり,なし,
仙台炭焼き　牛たん欅　宇都宮店,焼肉・ホルモン,北部,〒321-0984 宇都宮市御幸町64-3,028-683-2070,http://www.blooooom.jp/keyaki/,あり,なし,
みそや源兵衛　インターパーク店,ラーメン,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ1-2-6,028-688-3577,なし,あり,なし,
てんぷらいち村,和食,東部,〒321-0953 宇都宮市東宿郷2-4-1ホテルマイステイズ宇都宮3F,028-680-5541,なし,なし,なし,
インド料理エベレスト　越戸店,各国料理（韓国料理・カレー等）,東部,〒321-0951 宇都宮市越戸2-17-18,028-660-1966,なし,あり,あり,
すぎのや本陣　宇都宮南店,和食,南部,〒321-0151 宇都宮市西川田町434-1,028-615-2215,なし,あり,あり,
Bistro　UENO　Nibancho,イタリアン・フレンチ,中央,〒320-0813 宇都宮市二番町1-24,028-689-9949,https://bistro-ueno.com/,なし,なし,
フレッシュネスバーガー　インターパークビレッジ店,ファストフード,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ4-1-3,028-657-7666,https://www.freshnessburger.co.jp/,あり,なし,
イタリアントマトカフェジュニア　インターパークビレッジ店,イタリアン・フレンチ,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ4-1-3,028-656-8665,https://www.italiantomato.co.jp/,あり,なし,
茶寮わた屋,カフェ・スイーツ,西部,〒320-0851 宇都宮市鶴田町211-13,028-647-2076,なし,あり,なし,
イタリアントマトカフェ　宇都宮オリオン通り店,イタリアン・フレンチ,中央,〒320-0803 宇都宮市曲師町4-1三笠ビル1階,028-680-6031,https://www.italiantomato.co.jp/,あり,なし,
餃天堂　西口店,餃子,中央,〒321-0964 宇都宮市駅前通り3-3-2,028-614-3805,なし,あり,なし,
宮カフェ2F宮のクラフト酒場（飲食のみ）,居酒屋,中央,〒320-0802 宇都宮市江野町2-11,028-666-8938,http://utsunomiya-miyacafe.com/,あり,なし,
背脂煮干しらーめんと豚丼　誠,ラーメン,南部,〒321-0131 宇都宮市宮の内1-173-9,028-601-7705,なし,あり,なし,
カレーハウスCoCo壱番屋宇都宮峰店,各国料理（韓国料理・カレー等）,東部,〒321-0942 宇都宮市峰1-24-5,028-610-7225,なし,あり,なし,
コーヒー＆キッチン紙風船,洋食,東部,〒321-0953 宇都宮市東宿郷6-6-13,028-637-2532,なし,あり,なし,
つくし,和食,北部,〒321-2114 宇都宮市下金井町663-2,028-612-5546,なし,あり,なし,
四季の味　玉寿司,和食,東部,〒321-0904 宇都宮市陽東8-22-25,028-661-4947,http://www.tamachan-sushi.com/,あり,なし,
焼きそば千代,お好み焼き・もんじゃ焼き・焼きそば,中央,〒320-0802 宇都宮市江野町1-8,028-636-3031,https://tabelog.com/tochigi/A0901/A090101/9009781/,あり,なし,
Narisada,イタリアン・フレンチ,中央,〒320-0808 宇都宮市宮園町8-2松島ビル1-1,028-634-7899,なし,なし,なし,
旬味酒菜りき斗,居酒屋,東部,〒321-0944 宇都宮市東峰町3100-3,028-661-9353,なし,なし,なし,
キリンカフェ,その他,北部,〒321-2115 宇都宮市上金井町552-2宇都宮動物園内,090-2641-3001,https://kirincafe.net/,あり,なし,
中華幸心,中華,西部,〒321-0151 宇都宮市西川田町1026-58,028-666-5939,なし,なし,なし,
和堂あさひ阪,和食,中央,〒320-0034 宇都宮市泉町1-21,028-627-1266,なし,あり,あり,
はま寿司宇都宮今泉店,和食,東部,〒321-0952 宇都宮市泉が丘5-2993-2,028-613-3881,https://www.hama-sushi.co.jp/,あり,なし,
大黒屋ドライブイン,和食,北部,〒329-1102 宇都宮市白沢町1851-6,028-673-8777,なし,あり,なし,
HARRY CURRY,各国料理（韓国料理・カレー等）,南部,〒321-0112 宇都宮市屋板町1510-4,028-688-8625,https://www.instagram.com/harry__curry/,なし,なし,
バーミヤン 宇都宮徳次郎,中華,北部,〒321-2116 宇都宮市徳次郎町2256-9,028-666-1185,https://www.skylark.co.jp/,あり,なし,
カレーハウスCoCo壱番屋　宇都宮東簗瀬店,各国料理（韓国料理・カレー等）,中央,〒321-0925 宇都宮市東簗瀬1-38-2,028-610-8070,なし,あり,なし,
イタリアンレストラン　アチェーロ,イタリアン・フレンチ,中央,〒320-0055 宇都宮市下戸祭1-10-3パレス・ド・ルミーネ１階,028-623-7600,https://italianacero.shop/,あり,なし,
めし屋　せい兵衛,居酒屋,中央,〒321-0933 宇都宮市簗瀬3-20-22,028-636-6996,なし,なし,なし,
バルDE日光里,イタリアン・フレンチ,西部,〒320-0043 宇都宮市桜5-1-19,028-637-5003,なし,あり,あり,
番屋せい兵衛,居酒屋,中央,〒321-0925 宇都宮市東簗瀬1-22-1,028-612-8451,なし,あり,なし,
ラトリシエール,イタリアン・フレンチ,東部,〒321-0954 宇都宮市元今泉3-9-8 103,028-632-0009,なし,あり,なし,
居酒屋　兜,居酒屋,南部,〒321-0923 宇都宮市下栗町2275,028-678-5001,なし,あり,なし,
そば工房　つちや,うどん・そば,東部,〒321-0942 宇都宮市峰1-31-7,028-633-0647,なし,あり,なし,
ATELIER INAKA,カフェ・スイーツ,北部,〒329-1106 宇都宮市上大塚町102-44,028-666-4964,https://www.facebook.com/ATELIER.INAKA/,あり,なし,
麺一,ラーメン,北部,〒321-0983 宇都宮市御幸本町4731-1,028-662-2802,なし,あり,なし,
オステリア　アンジョウ,イタリアン・フレンチ,東部,〒321-0954 宇都宮市元今泉5-5-5,028-660-2000,なし,あり,なし,
とんとん,各国料理（韓国料理・カレー等）,東部,〒321-0945 宇都宮市宿郷2-10-13THTビル１階,028-689-9555,なし,あり,なし,
手打ちうどん　榛名,うどん・そば,北部,〒321-2102 宇都宮市篠井町507,028-669-2678,なし,なし,なし,
ステーキJUNKY！　東口店,ステーキ,東部,〒321-0954 宇都宮市元今泉7-4-3福田屋ビル102,028-661-1188,なし,あり,あり,
ステーキJUNKY！　西口店,ステーキ,中央,〒320-0033 宇都宮市本町13-15,028-678-2929,なし,あり,あり,
はま寿司　宇都宮中戸祭店,和食,西部,〒320-0052 宇都宮市中戸祭町828-17,028-650-5870,https://my.hama-sushi.co.jp/,あり,なし,
忍家　宇都宮駅東口店,居酒屋,東部,〒321-0953 宇都宮市東宿郷1-5-11,028-633-8102,なし,あり,あり,
Kitchen KANEYA,洋食,中央,〒320-0803 宇都宮市曲師町5-2　2F,028-634-3838,なし,あり,あり,
居酒屋　なごみ,居酒屋,中央,〒320-0027 宇都宮市塙田3-3-3塙田ビル１階,028-627-0753,なし,なし,なし,
四文字熟女,その他,中央,〒320-0033 宇都宮市本町6-10ステラビル４階,028-643-5300,なし,なし,なし,
喫茶nejiro,カフェ・スイーツ,東部,〒321-0912 宇都宮市石井町3412-8,090-1818-5047,なし,なし,なし,
Soba酔Jizo,居酒屋,西部,〒320-0027 宇都宮市塙田2-4-13,080-7612-1001,なし,あり,なし,
ミートダイニング　ZIG,洋食,中央,〒320-0806 宇都宮市中央2-1-2,028-678-4429,なし,あり,あり,
道の駅うつのみやろまんちっく村ファーストフードDELI,ファストフード,北部,〒321-2118 宇都宮市新里町丙254,028-665-8800,https://www.romanticmura.com,あり,なし,
はま寿司宇都宮インターパーク店,和食,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ5-1-15,028-688-3145,https://www.hama-sushi.co.jp/,あり,なし,
かめや宮の橋,居酒屋,中央,〒320-0811 宇都宮市大通り3-3-4,028-666-4480,https://www.kameya-utsunomiya.jp/miyanohashiten,なし,なし,
豚熟,各国料理（韓国料理・カレー等）,東部,〒321-0953 宇都宮市東宿郷2-17-10東口屋台村内,028-348-1513,https://foodplace.jp/tonnjuku/,あり,あり,
すし・居酒屋　うず潮,居酒屋,東部,〒321-0935 宇都宮市城東1-3-23,028-638-9767,なし,あり,なし,
カレーハウスCoCo壱番屋宇都宮西原店,各国料理（韓国料理・カレー等）,中央,〒320-0826 宇都宮市西原町550-3,028-684-1758,なし,あり,なし,
コンセーレ　コーヒーコーナー２００１,カフェ・スイーツ,西部,〒320-0066 宇都宮市駒生1-1-6,028-624-1417,http://www.concere.jp/,なし,なし,
コンセーレ　タイムズスクウェア,カフェ・スイーツ,西部,〒320-0066 宇都宮市駒生1-1-6,028-624-1417,http://www.concere.jp/,なし,なし,
焼肉亭,焼肉・ホルモン,東部,〒321-0953 宇都宮市東宿郷2-10-10,028-633-0063,https://yakinikutei.owst.jp/,あり,なし,
インダルスドリーム,ダイニングバー・バル,東部,〒321-0953 宇都宮市東宿郷5-7-8ヤマイチビル1F,028-639-0286,https://www.indulz.com/,なし,なし,
中華食堂　喜来家,中華,南部,〒321-0107 宇都宮市江曽島3-1102-1,028-659-8155,なし,あり,なし,
隠れ庵　忍家　宇都宮鶴田店,居酒屋,西部,〒320-0857 宇都宮市鶴田2-5-22,028-649-0166,なし,あり,あり,
BROWN SUGAR ESPRESSO COFFEE（宝木町店）,カフェ・スイーツ,西部,〒320-0061 宇都宮市宝木町1-55-1LAUNDRY　COFFEE宝木町店内,090-6300-1273,なし,あり,なし,
焼とん屋二代目こっこのすけ,居酒屋,中央,〒321-0964 宇都宮市駅前通り3-3-1まつのやビル2F,028-678-2989,なし,あり,あり,
夢酒房かりん,和食,中央,〒320-0031 宇都宮市戸祭元町5-5,028-627-8188,https://www.tochinavi.net/spot/home/index.shtml?id=2420,あり,なし,
餃天堂　シンボルロード店,餃子,中央,〒320-0801 宇都宮市池上町1-11,028-689-8518,なし,あり,なし,
飛菜鶏,和食,南部,〒321-0108 宇都宮市春日町14-7,028-645-2248,なし,あり,なし,
まげしとちぎや,うどん・そば,中央,〒320-0803 宇都宮市曲師町2-11,028-635-4155,なし,あり,なし,
北海道スタイルジンギスカン 福ちゃん,その他,中央,〒320-0801 宇都宮市池上町2-7,028-688-0996,なし,あり,なし,
MUSICBAR ZERO,その他,中央,〒320-0802 宇都宮市江野町2-6高橋GTビル4F,028-348-3616,なし,なし,なし,
昭和歌謡レトロ酒場 アイドル,その他,中央,〒320-0801 宇都宮市池上町2-72F,028-678-5565,なし,なし,なし,
LAZO,ダイニングバー・バル,東部,〒321-0953 宇都宮市東宿郷2-5-24,028-638-7778,なし,あり,なし,
天空ダイニングレガーロ Regalo,イタリアン・フレンチ,東部,〒321-0904 宇都宮市陽東5-32-1ホテルデルソル11階,028-660-5000,https://www.facebook.com/Regalo-285448968248256/,あり,なし,イタリアンにフレンチのエッセンスを加えた創作イタリアンのお店です。地産地消を意識した季節感あるお料理をリーズナブルにご提供しています。11階からの景色も楽しめながらのお食事、ワイン赤/白5～6種類30分500円飲み放題（延長可）が好評です。テイクアウトのピッツァ、オードブル、お弁当も好評です。皆様のご予約、ご来店お待ちしております。
居酒屋ありらん(A),居酒屋,中央,〒320-0838 宇都宮市吉野2-8-18,028-636-8537,なし,あり,あり,
そば処中島屋,うどん・そば,中央,〒321-0933 宇都宮市簗瀬町2563-1,028-637-1787,なし,なし,なし,
養老乃瀧　宇都宮雀宮店,居酒屋,南部,〒321-0142 宇都宮市南町11-9,028-653-4649,なし,あり,なし,
